player_name,psi_log_avg,psi_log_sr,psi_combined,rank
HC Brook,0.4585067382634658,0.25769604507317995,0.3915698405333705,86
DPMD Jayawardene,0.5133119847455184,0.14739970573631123,0.3913412250757827,87
DM Jones,0.5448416998653046,0.0769525973148176,0.3888786656818089,88
MW Machan,0.5184928379319529,0.12481329917963321,0.38726632501451297,89
CL Hooper,0.5232321401195797,0.11448007457509089,0.3869814516047501,90
Misbah-ul-Haq,0.5614635074868354,0.03478042954020737,0.3859024815046261,91
Inzamam-ul-Haq,0.5232668984739064,0.10993623667524732,0.38549001120768667,92
RG Sharma,0.4920646800440909,0.16568551397427836,0.3832716246874867,93
CS MacLeod,0.5160935323499841,0.11303039078463856,0.3817391518282023,94
Azmatullah Omarzai,0.5051631908602956,0.13046731178746532,0.3802645645026855,95
A Bagai,0.5479269146246663,0.04340432820336222,0.37975271915089825,96
HA Varaiya,0.6488706956416761,-0.1592338692392837,0.3795025073480229,97
DR Martyn,0.5060314771255658,0.12503803772842936,0.379033663993187,98
Mohammad Hafeez,0.5036070479233213,0.12971093435062114,0.37897501006575457,99
BOP Fernando,0.5619323910453045,0.012756340724109541,0.3788737076049062,100
Saeed Anwar,0.492393618643623,0.14742470329098467,0.37740398019274357,101
YBK Jaiswal,0.46722839519541287,0.19517583618945505,0.3765442088600936,102
GP Swann,0.4249381656683124,0.2777318843794654,0.3758694052386968,103
DJ Hooda,0.4655909203772111,0.1957231951932942,0.37563501198257215,104
NJ Astle,0.5099994300948095,0.10046059643332439,0.37348648554098113,105
Imad Wasim,0.43266046645339684,0.25424005006897177,0.3731869943252552,106
SR Taylor,0.478169271554024,0.1621606794531252,0.37283307418705774,107
N Vanua,0.4524098562333488,0.21044590762777043,0.371755206698156,108
RD Gaikwad,0.45141568190038056,0.20732084335484247,0.37005073571853453,109
Mohammad Nabi,0.4655830858180528,0.17347421091080015,0.3682134608489686,110
SO Tikolo,0.4892620210737859,0.12323215417566596,0.3672520654410793,111
R Dravid,0.5387218007203968,0.024304536424602372,0.3672493792884653,112
SE Rutherford,0.4262114009839497,0.24911290309226686,0.3671785683533888,113
Mohammad Rizwan,0.5105205326770179,0.07912944178210433,0.3667235023787134,114
KL Rahul,0.49250264794058735,0.11363636785950101,0.3662138879135586,115
HH Pandya,0.44063758900936656,0.21554814923099092,0.36560777574990805,116
Ayaan Khan,0.49783631145129476,0.0995402145221867,0.3650709458082588,117
GJ Maxwell,0.40972954920243954,0.2734612645940497,0.3643067876663096,118
Sikandar Raza,0.47236659435183914,0.1411903359111253,0.36197450820493454,119
Shubman Gill,0.4667796191023629,0.15079441524466208,0.3614512178164626,120
